=== 타자 기록 (정규) ===
순위,이름,타율,게임수,타석,타수,득점,총안타,1루타,2루타,3루타,홈런,루타,타점,도루,도실 (도루자),희타,희비,볼넷,고의 4구,사구,삼진,병살,장타율,출루율,도루 성공률,멀티 히트,OPS,BB/K,장타/안타
1,이재하(0),0.462,6,20,13,6,6,3,3,0,0,9,7,5,0,0,1,5,0,1,3,0,0.692,0.6,1.0,1,1.292,1.67,0.5
2,유기웅(62),0.444,6,20,18,8,8,7,1,0,0,9,1,12,1,0,0,2,0,0,3,0,0.5,0.5,0.923,1,1.0,0.67,0.125
2,이윤상(33),0.444,6,15,9,3,4,2,1,0,1,8,6,1,0,0,0,6,0,0,5,0,0.889,0.667,1.0,0,1.556,1.2,0.5
3,이대하(26),0.333,4,13,9,5,3,3,0,0,0,3,1,6,0,1,0,3,0,0,4,0,0.333,0.5,1.0,1,0.833,0.75,0.0
4,이주원(22),0.313,6,18,16,1,5,4,1,0,0,6,2,3,0,0,0,1,0,1,7,0,0.375,0.389,1.0,1,0.764,0.14,0.2

=== 타자 기록 (규정타석 미달) ===
순위,이름,타율,게임수,타석,타수,득점,총안타,1루타,2루타,3루타,홈런,루타,타점,도루,도실 (도루자),희타,희비,볼넷,고의 4구,사구,삼진,병살,장타율,출루율,도루 성공률,멀티 히트,OPS,BB/K,장타/안타
1,이찬우(39),1.0,1,2,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,1.0,0.0,0,2.0,0.0,0.0
2,조창근(2),0.5,4,4,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.5,0.667,0.0,0,1.167,0.0,0.0
2,김기주(23),0.5,2,2,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.5,0.5,1.0,0,1.0,0.0,0.0
3,이성용(3),0.375,5,10,8,2,3,3,0,0,0,3,0,1,1,0,0,1,0,0,5,0,0.375,0.444,0.5,1,0.819,0.2,0.0
4,장정환(47),0.333,4,11,9,0,3,2,1,0,0,4,3,1,0,0,0,2,0,0,5,0,0.444,0.455,1.0,1,0.899,0.4,0.333
5,모종훈(36),0.286,4,12,7,3,2,2,0,0,0,2,3,5,0,0,0,2,0,3,2,0,0.286,0.583,1.0,0,0.869,1.0,0.0
6,염국현(15),0.25,3,8,4,1,1,0,1,0,0,2,1,4,0,0,0,1,0,3,2,0,0.5,0.625,1.0,0,1.125,0.5,1.0
7,윤휘찬(1),0.091,6,12,11,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,6,1,0.091,0.167,1.0,0,0.258,0.0,0.0
8,김동욱(13),0.0,4,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0,0.0,0.0,0.0
8,박노활(77),0.0,4,6,5,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0,0.0,0.167,1.0,0,0.167,0.5,0.0

=== 투수 기록 (정규) ===
순위,이름,방어율,게임수,승,패,세,홀드,승률,타자,타수,투구수,이닝,피안타,피홈런,희타,희비,볼넷,고의 4구,사구,탈삼진,폭투,보크,실점,자책점,WHIP,피안타율,탈삼진율
1,이윤상(33),16.5,6,0,3,0,0,0.0,100,74,364,14.0,29,0,0,1,19,0,6,14,2,0,46,33,3.43,0.392,7.0

=== 투수 기록 (규정이닝 미달) ===
순위,이름,방어율,게임수,승,패,세,홀드,승률,타자,타수,투구수,이닝,피안타,피홈런,희타,희비,볼넷,고의 4구,사구,탈삼진,폭투,보크,실점,자책점,WHIP,피안타율,탈삼진율
1,이주원(22),0.0,3,0,0,1,0,0.0,9,7,24,1.2,2,0,0,1,0,0,1,3,1,0,1,0,1.2,0.286,12.65
2,모종훈(36),3.66,3,1,0,0,0,1.0,42,30,158,7.2,6,0,0,0,8,0,4,10,3,0,6,4,1.83,0.2,9.14
3,이재하(0),27.33,3,0,1,0,0,0.0,31,23,120,3.1,12,0,0,0,6,0,2,6,1,0,17,13,5.41,0.522,12.61
